id,cond,word,pseudoword
0,Exception,both,coth
1,Exception,been,heen
2,Exception,blood,drood
3,Exception,bread,shead
4,Exception,bull,wull
5,Exception,bush,nush
6,Exception,comb,pomb
7,Exception,come,gome
8,Exception,dead,fead
9,Exception,deaf,heaf
10,Exception,dread,blead
11,Exception,done,mone
12,Exception,foot,poot
13,Exception,good,sood
14,Exception,great,steat
15,Exception,have,tave
16,Exception,head,wead
17,Exception,hood,bood
18,Exception,hoof,moof
19,Exception,lose,cose
20,Exception,love,hove
21,Exception,mild,bild
22,Exception,move,pove
23,Exception,most,sost
24,Exception,none,wone
25,Exception,pint,bint
26,Exception,plaid,praid
27,Exception,post,bost
28,Exception,push,wush
29,Exception,prove,brove
30,Exception,pull,sull
31,Exception,shove,plove
32,Exception,said,haid
33,Exception,some,lome
34,Exception,soot,doot
35,Exception,spook,grook
36,Exception,steak,sweak
37,Exception,sweat,speat
38,Exception,tomb,domb
39,Exception,wool,lool
40,Exception,wear,mear
41,Exception,wild,pild
42,Exception,were,dere
43,Regular,bath,cath
44,Regular,beef,heef
45,Regular,bleed,dreed
46,Regular,breed,sheed
47,Regular,buff,wuff
48,Regular,bust,nust
49,Regular,cold,pold
50,Regular,code,gode
51,Regular,deal,feal
52,Regular,dean,hean
53,Regular,dream,bleam
54,Regular,dune,mune
55,Regular,feet,peet
56,Regular,goad,soad
57,Regular,greet,steet
58,Regular,haze,taze
59,Regular,heat,weat
60,Regular,heed,beed
61,Regular,hoop,moop
62,Regular,lobe,cobe
63,Regular,lode,hode
64,Regular,meld,beld
65,Regular,mode,pode
66,Regular,must,sust
67,Regular,note,wote
68,Regular,pink,bink
69,Regular,plain,prain
70,Regular,port,bort
71,Regular,posh,wosh
72,Regular,probe,brobe
73,Regular,puff,suff
74,Regular,shore,plore
75,Regular,soil,hoil
76,Regular,sole,lole
77,Regular,soon,doon
78,Regular,spool,grool
79,Regular,steal,sweal
80,Regular,sweet,speet
81,Regular,told,dold
82,Regular,wail,lail
83,Regular,weak,meak
84,Regular,wilt,pilt
85,Regular,wore,dore
