word,Correct_PMSP,dict_p
worm,/wurm/,__w^rm____
work,/wurk/,__w^rk____
word,/wurd/,__w^rd____
wool,/wul/,__wUl_____
what,/wʌt/,__w^t_____
were,/wur/,__w^r_____
watch,/waC/,__watC____
wash,/woS/,__waS_____
want,/want/,__want____
wand,/wand/,__wand____
wad,/wad/,__wad_____
touch,/tʌC/,__t^C_____
swarm,/swOrm/,_sworm____
swamp,/swamp/,_swamp____
spook,/spUk/,_spuk_____
shoe,/SU/,__Su______
shall,/Sal/,__S@l_____
sew,/sO/,__so______
says,/sez/,__sEz_____
said,/sed/,__sEd_____
rouse,/rWz/,__rWz_____
put,/put/,__pUt_____
pull,/pul/,__pUl_____
plow,/plW/,_plW______
pint,/pInt/,__pAnt____
phase,/fAz/,__fez_____
pear,/pAr/,__pEr_____
move,/mUv/,__muv_____
lose,/lUz/,__luz_____
have,/hav/,__h@v_____
gross,/grOs/,_gros_____
great,/grAt/,_gret_____
give,/giv/,__gIv_____
foot,/fut/,__fUt_____
flood,/flʌd/,_fl^d_____
done,/dʌn/,__d^n_____
doll,/dal/,__dal_____
does,/dʌz/,__d^z_____
do,/dU/,__du______
deaf,/def/,__dEf_____
come,/kʌm/,__k^m_____
choose,/CUz/,__Cuz_____
bush,/buS/,__bUS_____
broad,/brod/,_brad_____
break,/brAk/,_brek_____
bowl,/bOl/,__bol_____
both,/bOT/,__boT_____
are,/ar/,___ar_____
