epoch,w_acc,nw_acc
0,0,0
0.2,6.068472038,31.00515778
0.4,15.33749406,36.12907855
0.6,17.14659028,36.98967205
0.8,23.2114594,39.34491614
1,29.12142042,40.42852464
1.2,33.40407456,39.91289234
1.4,37.0409144,38.9820381
1.6,38.78133914,38.33945943
1.8,38.47535099,38.18250314
2,38.1821146,38.05954226
2.2,40.92862723,37.76928349
2.4,43.61787113,37.5258137
2.6,44.61744046,37.86936807
2.8,44.19069973,38.33501052
3,43.07914797,38.69835429
3.2,41.99410187,37.35294955
3.4,40.38169691,35.79453326
3.6,39.78646333,34.01058757
3.8,39.93075057,32.65077708
4,39.75661133,31.13164945
4.2,39.12799008,31.44932105
4.4,37.96614434,31.69183386
4.6,37.94467343,31.82760907
4.8,39.06238996,31.71661728
5,39.92939737,31.31956974
5.2,39.93154517,30.95408556
5.4,39.56486676,30.63197631
5.6,38.73751721,30.13092052
5.8,37.78740145,29.82424979
6,36.52699181,29.56779991
6.2,36.44566591,29.78206274
6.4,36.43191205,30.13880517
6.6,36.1777464,29.79738211
6.8,35.66582091,28.80511476
7,35.5081636,28.10964144
7.2,35.67230865,28.01253149
7.4,36.47697083,28.03966031
7.6,35.7607575,27.38138246
7.8,33.43127211,26.09675098
8,30.42137067,25.29085658
8.2,31.36563166,25.10851481
8.4,32.40189216,25.29371412
8.6,32.91999764,25.29418052
8.8,32.71361377,25.29748194
9,32.19722115,25.18885976
9.2,29.74717172,23.68290494
9.4,26.50166565,22.17152377
9.6,25.71100396,20.91861492
